Company Name,Ticker,Last Close,Exchange
Advanced Accelerator Applications S.A.,AAAP,81.61,NSDQ
Altaba Inc.,AABA,71.53,NSDQ
"American Airlines Group, Inc.",AAL,51.3,NSDQ
Atlantic American Corporation,AAME,3.35,NSDQ
"Applied Optoelectronics, Inc.",AAOI,40.52,NSDQ
"AAON, Inc.",AAON,35.05,NSDQ
Atlas Air Worldwide Holdings,AAWW,56.75,NSDQ
"TASER International, Inc.",AAXN,24.59,NSDQ
"Aoxin Tianli Group, Inc.",ABAC,2.84,NSDQ
"ABAXIS, Inc.",ABAX,47.37,NSDQ
Ameris Bancorp,ABCB,46.55,NSDQ
"Cambium Learning Group, Inc.",ABCD,5.52,NSDQ
Alcentra Capital Corp.,ABDC,8.33,NSDQ
Abeona Therapeutics Inc.,ABEO,15.55,NSDQ
Ability Inc.,ABIL,0.4046,NSDQ
"ARCA biopharma, Inc.",ABIO,1.3,NSDQ
"Allegiance Bancshares, Inc.",ABTX,37.45,NSDQ
Arbutus Biopharma Corporation,ABUS,4.9,NSDQ
ACADIA Pharmaceuticals Inc.,ACAD,29.97,NSDQ
"Atlantic Capital Bancshares, Inc.",ACBI,16.5,NSDQ
"Opexa Therapeutics, Inc.",ACER,14.15,NSDQ
Aceto Corporation,ACET,10.92,NSDQ
Atlantic Coast Financial Corporation,ACFC,9.05,NSDQ
Arch Capital Group Ltd.,ACGL,92.57,NSDQ
"Acadia Healthcare Company, Inc.",ACHC,32.1,NSDQ
"Achillion Pharmaceuticals, Inc.",ACHN,2.86,NSDQ
OncoGenex Pharmaceuticals Inc.,ACHV,1.32,NSDQ
"Acacia Communications, Inc.",ACIA,41.84,NSDQ
AC Immune  SA,ACIU,12,NSDQ
"ACI Worldwide, Inc.",ACIW,22.38,NSDQ
"Axcelis Technologies, Inc.",ACLS,29.7,NSDQ
"ACM Research, Inc.",ACMR,5.96,NSDQ
ACNB Corporation,ACNB,29.05,NSDQ
"Acorda Therapeutics, Inc.",ACOR,20.4,NSDQ
