Company Name,Ticker,Last Close,Exchange
"Agilent Technologies, Inc.",A,67,NYSE
Alcoa Corp.,AA,42.24,NYSE
"AAC Holdings, Inc.",AAC,8.8,NYSE
"Aaron's,  Inc.",AAN,37.08,NYSE
"American Assets Trust, Inc.",AAT,38.85,NYSE
Advantage Oil & Gas Ltd,AAV,4.05,NYSE
AllianceBernstein Holding L.P.,AB,25.1,NYSE
ABB Ltd,ABB,26,NYSE
AbbVie Inc.,ABBV,96.47,NYSE
AmerisourceBergen Corporation (Holding Co),ABC,86.77,NYSE
Ambev S.A.,ABEV,6.34,NYSE
Asbury Automotive Group Inc,ABG,67.55,NYSE
ABM Industries Incorporated,ABM,43.78,NYSE
Arbor Realty Trust,ABR,8.7,NYSE
Abbott Laboratories,ABT,54.94,NYSE
Barrick Gold Corporation,ABX,13.65,NYSE
"Associated Capital Group, Inc.",AC,33.75,NYSE
American Campus Communities Inc,ACC,43.43,NYSE
Acco Brands Corporation,ACCO,12.45,NYSE
Aluminum Corporation of China Limited,ACH,16.15,NYSE
AECOM,ACM,38.51,NYSE
Ares Commercial Real Estate Corporation,ACRE,13.32,NYSE
Agree Realty Corporation,ADC,49.69,NYSE
Archer-Daniels-Midland Company,ADM,41.9,NYSE
Adient PLC,ADNT,79.69,NYSE
Advanced Disposal Services Inc.,ADSW,23.03,NYSE
Adams Diversified Equity Fund,ADX,14.835,NYSE
Ameren Corporation,AEE,63.66,NYSE
Aegon NV,AEG,6.2,NYSE
American Equity Investment Life Holding Company,AEL,32.2,NYSE
Agnico Eagle Mines Limited,AEM,42.53,NYSE
"American Eagle Outfitters, Inc.",AEO,17.63,NYSE
"American Electric Power Company, Inc.",AEP,77.08,NYSE
Aercap Holdings N.V.,AER,52.06,NYSE
The AES Corporation,AES,10.86,NYSE
"Armstrong Flooring, Inc.",AFI,16.5,NYSE
Aflac Incorporated,AFL,88.48,NYSE
First Majestic Silver Corp.,AG,6.64,NYSE
AGCO Corporation,AGCO,72.49,NYSE
Alamos Gold Inc.,AGI,6.1,NYSE
Federal Agricultural Mortgage Corporation,AGM,71.38,NYSE
Assured Guaranty Ltd.,AGO,35.39,NYSE
"Avangrid, Inc.",AGR,52.52,NYSE
Adecoagro S.A.,AGRO,10.01,NYSE
"Argan, Inc.",AGX,43.7,NYSE
A.H. Belo Corporation,AHC,4.8,NYSE
